Unit,Unit UUID,Quality,Quality UUID
(cmol*m2)/kg,691ae73c-3fc1-4157-85d0-2659bdc2380a,Physicochemical Filtration (Transf.),ac95ed26-5038-4862-8b82-94f1412875cd
(cmol*m2*a)/kg,2e16ca4a-9f65-472f-b4cb-274050aaf328,Physicochemical Filtration (Occ.),8a9107c2-62a2-4997-95b0-6944c80b774e
(mm*m2)/a,95e8feec-abc7-4eb0-bf39-2a6d411cba8d,Groundwater Replenishment (Transf.),58ea2de8-1f31-4248-9b03-18ec5d8db13b
a,9a87f840-752d-4863-b911-533f92ee5073,Duration,c0447923-0e60-4b3c-97c2-a86dddd9eea5
ac,8ee3bcbf-9e65-4f59-9b0b-40b504cbe345,Area,93a60a56-a3c8-19da-a746-0800200c9a66
acre,8ee3bcbf-9e65-4f59-9b0b-40b504cbe345,Area,93a60a56-a3c8-19da-a746-0800200c9a66
acre (US),8ee3bcbf-9e65-4f59-9b0b-40b504cbe345,Area,93a60a56-a3c8-19da-a746-0800200c9a66
bbl,91995a9e-3cb4-4fc9-a93b-8c618ff9b948,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
bl (Imp),9bc2cfb2-fb43-42e6-9783-6c7479c78cce,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
bl (US beer),a681e9e5-6304-45f0-a5f4-df413eee0724,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
bl (US dry),1c4169d1-4fee-40e3-9868-953ee15e26ae,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
bl (US fl),89121cea-0d98-4466-9b0f-e33e448db7ec,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
Bq,ac324d87-9961-463a-81a1-099bb0f7d89b,Radioactivity,93a60a56-a3c8-17da-a746-0800200c9a66
bsh (Imp),90888d8d-3d57-497f-a3fa-12aefd2bc774,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
bsh (US),5ec65531-6bb4-4990-a687-44e9ab8f3529,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
